RDF Type	Class type	Parent	ID	See Also	Label	Part1	Part2L	Part2B	Part3	Scope	Type	Comment	Definition	Editors Note	Citation
owl:Class	subclass	lang:0000001	lang:1003386		Kairiru				kxa	I	L		Kairiru language		
owl:Class	subclass	lang:0000001	lang:1003387		Krobu				kxb	I	L		Krobu language		
owl:Class	subclass	lang:0000001	lang:1003388		Konso				kxc	I	L		Konso language		
owl:Class	subclass	lang:0000001	lang:1003389		Brunei				kxd	I	L		Brunei language		
owl:Class	subclass	lang:0000001	lang:1003390		Manumanaw Karen				kxf	I	L		Manumanaw Karen language		
owl:Class	subclass	lang:0000001	lang:1003391		Karo (Ethiopia)				kxh	I	L		Karo (Ethiopia) language		
owl:Class	subclass	lang:0000001	lang:1003392		Keningau Murut				kxi	I	L		Keningau Murut language		
owl:Class	subclass	lang:0000001	lang:1003393		Kulfa				kxj	I	L		Kulfa language		
owl:Class	subclass	lang:0000001	lang:1003394		Zayein Karen				kxk	I	L		Zayein Karen language		
owl:Class	subclass	lang:0000001	lang:1003395		Nepali Kurux				kxl	I	L		Nepali Kurux language		
owl:Class	subclass	lang:0000001	lang:1003396		Northern Khmer				kxm	I	L		Northern Khmer language		
owl:Class	subclass	lang:0000001	lang:1003397		Kanowit-Tanjong Melanau				kxn	I	L		Kanowit-Tanjong Melanau language		
owl:Class	subclass	lang:0000001	lang:1003398		Kanoé				kxo	I	E		Kanoé language		
owl:Class	subclass	lang:0000001	lang:1003399		Wadiyara Koli				kxp	I	L		Wadiyara Koli language		
owl:Class	subclass	lang:0000001	lang:1003400		Smärky Kanum				kxq	I	L		Smärky Kanum language		
owl:Class	subclass	lang:0000001	lang:1003401		Koro (Papua New Guinea)				kxr	I	L		Koro (Papua New Guinea) language		
owl:Class	subclass	lang:0000001	lang:1003402		Kangjia				kxs	I	L		Kangjia language		
owl:Class	subclass	lang:0000001	lang:1003403		Koiwat				kxt	I	L		Koiwat language		
owl:Class	subclass	lang:0000001	lang:1003404		Kui (India)				kxu	I	L		Kui (India) language		
owl:Class	subclass	lang:0000001	lang:1003405		Kuvi				kxv	I	L		Kuvi language		
owl:Class	subclass	lang:0000001	lang:1003406		Konai				kxw	I	L		Konai language		
owl:Class	subclass	lang:0000001	lang:1003407		Likuba				kxx	I	L		Likuba language		
owl:Class	subclass	lang:0000001	lang:1003408		Kayong				kxy	I	L		Kayong language		
owl:Class	subclass	lang:0000001	lang:1003409		Kerewo				kxz	I	L		Kerewo language		
owl:Class	subclass	lang:0000001	lang:1003410		Kwaya				kya	I	L		Kwaya language		
owl:Class	subclass	lang:0000001	lang:1003411		Butbut Kalinga				kyb	I	L		Butbut Kalinga language		
owl:Class	subclass	lang:0000001	lang:1003412		Kyaka				kyc	I	L		Kyaka language		
owl:Class	subclass	lang:0000001	lang:1003413		Karey				kyd	I	L		Karey language		
owl:Class	subclass	lang:0000001	lang:1003414		Krache				kye	I	L		Krache language		
owl:Class	subclass	lang:0000001	lang:1003415		Kouya				kyf	I	L		Kouya language		
owl:Class	subclass	lang:0000001	lang:1003416		Keyagana				kyg	I	L		Keyagana language		
owl:Class	subclass	lang:0000001	lang:1003417		Karok				kyh	I	L		Karok language		
owl:Class	subclass	lang:0000001	lang:1003418		Kiput				kyi	I	L		Kiput language		
owl:Class	subclass	lang:0000001	lang:1003419		Karao				kyj	I	L		Karao language		
owl:Class	subclass	lang:0000001	lang:1003420		Kamayo				kyk	I	L		Kamayo language		
owl:Class	subclass	lang:0000001	lang:1003421		Kalapuya				kyl	I	L		Kalapuya language		
owl:Class	subclass	lang:0000001	lang:1003422		Kpatili				kym	I	L		Kpatili language		
owl:Class	subclass	lang:0000001	lang:1003423		Northern Binukidnon				kyn	I	L		Northern Binukidnon language		
owl:Class	subclass	lang:0000001	lang:1003424		Kelon				kyo	I	L		Kelon language		
owl:Class	subclass	lang:0000001	lang:1003425		Kang				kyp	I	L		Kang language		
owl:Class	subclass	lang:0000001	lang:1003426		Kenga				kyq	I	L		Kenga language		
owl:Class	subclass	lang:0000001	lang:1003427		Kuruáya				kyr	I	L		Kuruáya language		
owl:Class	subclass	lang:0000001	lang:1003428		Baram Kayan				kys	I	L		Baram Kayan language		
owl:Class	subclass	lang:0000001	lang:1003429		Kayagar				kyt	I	L		Kayagar language		
owl:Class	subclass	lang:0000001	lang:1003430		Western Kayah				kyu	I	L		Western Kayah language		
owl:Class	subclass	lang:0000001	lang:1003431		Kayort				kyv	I	L		Kayort language		
owl:Class	subclass	lang:0000001	lang:1003432		Kudmali				kyw	I	L		Kudmali language		
owl:Class	subclass	lang:0000001	lang:1003433		Rapoisi				kyx	I	L		Rapoisi language		
owl:Class	subclass	lang:0000001	lang:1003434		Kambaira				kyy	I	L		Kambaira language		
owl:Class	subclass	lang:0000001	lang:1003435		Kayabí				kyz	I	L		Kayabí language		
owl:Class	subclass	lang:0000001	lang:1003436		Western Karaboro				kza	I	L		Western Karaboro language		
owl:Class	subclass	lang:0000001	lang:1003437		Kaibobo				kzb	I	L		Kaibobo language		
owl:Class	subclass	lang:0000001	lang:1003438		Bondoukou Kulango				kzc	I	L		Bondoukou Kulango language		
owl:Class	subclass	lang:0000001	lang:1003439		Kadai				kzd	I	L		Kadai language		
