RDF Type	Class type	Parent	ID	See Also	Label	Label	Label	Label	Label	Part1	Part2L	Part2B	Part3	Comment	Definition	Editors Note	Citation
TYPE	CLASS_TYPE	CI	ID	AI rdfs:seeAlso	AL rdfs:label@en	AL rdfs:label@es	AL rdfs:label@fr	AL rdfs:label@de	AL rdfs:label@it	A LANG:0000002	A LANG:0000003	A LANG:0000004	A  LANG:0000005	A  LANG:0000006	AL IAO:0000115@en	AL IAO:0000116@en	AL IAO:0000119@en
owl:Class		BFO:0000031	LANG:0000001		Language	idioma	la langue	Sprache	linguaggio						"the words, their pronunciation, and the methods of combining them used and understood by a community"		Merriam-Webster https://www.merriam-webster.com/dictionary/languageowl:Class	subclass	LANG:0000001	LANG:10000001		Alumu-Tesu							aab		Alumu-Tesu language		
owl:Class	subclass	LANG:0000001	LANG:10000185		Ajië							aji		Ajië language		
owl:Class	subclass	LANG:0000001	LANG:10000186		Andajin							ajn		Andajin language		
owl:Class	subclass	LANG:0000001	LANG:10000187		South Levantine Arabic							ajp		South Levantine Arabic language		
owl:Class	subclass	LANG:0000001	LANG:10000188		Judeo-Tunisian Arabic							ajt		Judeo-Tunisian Arabic language		
owl:Class	subclass	LANG:0000001	LANG:10000189		Judeo-Moroccan Arabic							aju		Judeo-Moroccan Arabic language		
owl:Class	subclass	LANG:0000001	LANG:10000190		Ajawa							ajw		Ajawa language		
owl:Class	subclass	LANG:0000001	LANG:10000191		Amri Karbi							ajz		Amri Karbi language		
owl:Class	subclass	LANG:0000001	LANG:10000192		Akan				ak	aka	aka	aka		Akan language		
owl:Class	subclass	LANG:0000001	LANG:10000193		Batak Angkola							akb		Batak Angkola language		
owl:Class	subclass	LANG:0000001	LANG:10000194		Mpur							akc		Mpur language		
owl:Class	subclass	LANG:0000001	LANG:10000195		Ukpet-Ehom							akd		Ukpet-Ehom language		
owl:Class	subclass	LANG:0000001	LANG:10000196		Akawaio							ake		Akawaio language		
owl:Class	subclass	LANG:0000001	LANG:10000197		Akpa							akf		Akpa language		
owl:Class	subclass	LANG:0000001	LANG:10000198		Anakalangu							akg		Anakalangu language		
owl:Class	subclass	LANG:0000001	LANG:10000199		Angal Heneng							akh		Angal Heneng language		
owl:Class	subclass	LANG:0000001	LANG:10000200		Aiome							aki		Aiome language		
owl:Class	subclass	LANG:0000001	LANG:10000201		Aka-Jeru							akj		Aka-Jeru language		
owl:Class	subclass	LANG:0000001	LANG:10000202		Akkadian					akk	akk	akk		Akkadian language		
owl:Class	subclass	LANG:0000001	LANG:10000203		Aklanon							akl		Aklanon language		
owl:Class	subclass	LANG:0000001	LANG:10000204		Aka-Bo							akm		Aka-Bo language		
owl:Class	subclass	LANG:0000001	LANG:10000205		Akurio							ako		Akurio language		
owl:Class	subclass	LANG:0000001	LANG:10000206		Siwu							akp		Siwu language		
owl:Class	subclass	LANG:0000001	LANG:10000207		Ak							akq		Ak language		
owl:Class	subclass	LANG:0000001	LANG:10000208		Araki							akr		Araki language		
owl:Class	subclass	LANG:0000001	LANG:10000209		Akaselem							aks		Akaselem language		
owl:Class	subclass	LANG:0000001	LANG:10000210		Akolet							akt		Akolet language		
owl:Class	subclass	LANG:0000001	LANG:10000211		Akum							aku		Akum language		
owl:Class	subclass	LANG:0000001	LANG:10000212		Akhvakh							akv		Akhvakh language		
owl:Class	subclass	LANG:0000001	LANG:10000213		Akwa							akw		Akwa language		
owl:Class	subclass	LANG:0000001	LANG:10000214		Aka-Kede							akx		Aka-Kede language		
owl:Class	subclass	LANG:0000001	LANG:10000215		Aka-Kol							aky		Aka-Kol language		
